Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
"2017,6,16,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Põhiseaduskomisjoni istungi protokoll,https://drive.google.com/file/d/1UB0_HaqEhESM40RL30QCVReg8LyWhZ8c/view?usp=sharing,,,,,,"
"2017,6,15,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Riigikogu põhiseaduskomisjoni istungi protokoll nr 121,https://drive.google.com/file/d/16x0rrplGWYLrvb-S3KX2AdAdXznqPBZP/view?usp=sharing,,,,,,"
"2017,3,10,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Eesti Kirikute Nõukogu kiri ülestõusmispühade 2. püha lisamisest riigipühade ja puhkepäevade loetellu,https://drive.google.com/file/d/16tAepSEnCZkO4YYy10lHGjAe-lWklfHE/view?usp=sharing,,,,,,"
"2017,2,16,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Kollektiivse pöördumise menetlusse võtmine,,,,,,,"
2017,6,6,,,,,,,Eestimaa kaitseks,Vastuskiri kollektiivsele pöördumisele,https://drive.google.com/file/d/1pMnqRxqqbE0IP8WMhLzh6aEZNNuVDrU4/view?usp=sharing,,,,,,
2017,3,17,,,,,,,Eestimaa kaitseks,Memo Rail Balticu hetkeseisust,https://drive.google.com/file/d/1-3QdwbtXjj29fV0vBgtkeQnuSUYQlKN1/view?usp=sharing,,,,,,
2017,3,6,,,,,,,Eestimaa kaitseks,majanduskomisjoni protokoll,https://drive.google.com/file/d/1_TjbNmgJMx-vo8Rhk4w04SjoOLf0xUM2/view?usp=sharing,,,,,,
2017,2,21,,,,,,,Eestimaa kaitseks,majanduskomisjoni avaliku istungi video,https://www.youtube.com/watch?v=h-VsC22mnlc&t=27s&list=PLU985AFYCOtNWEXSGwPK3oUA18yvAHU3u&index=1,,,,,,
2017,1,23,,,,,,,Eestimaa kaitseks,majanduskomisjoni protokoll,https://drive.google.com/file/d/1nPxmI8kU0C7sUxaZYCewD89Mt7P4SlyH/view?usp=sharing,,,,,,
2016,12,8,,,,,,,Eestimaa kaitseks,Kollektiivse pöördumise menetlusse võtmine,,,,,,,
2017,5,2,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Menetlus lõpetati. Sotisaalkomisjon lõpetas menetlemise 02.05.2017. Küsimused edastati Sotsiaalministeeriumile.,,,,,,,
2017,5,8,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Kollektiivse pöördumise ettepanekutest,https://drive.google.com/file/d/13Ap47xNmyhdERdiiXlpwIcIrq_DqSmEe/view?usp=sharing,,,,,,
2017,4,20,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Elver Loho 20.04.2017 märgukiri,https://drive.google.com/file/d/1o5rISJqRu7c0m8RrRajDE2rcISOSDwvc/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Dr Peeter Padrik arvamus ravikanepist 11.04.17,https://drive.google.com/file/d/1AIDaDO0IDMQYB9m1A1_YtyP05utNM6qX/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Sotsiaalkomisjoni 11.04.2017 protokoll,https://drive.google.com/file/d/1XR5_ZKVDEaD1KHdOMO8xOk7NJ28uCD5P/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Sotsiaalkomisjoni 11.04.2017 avaliku istungi video,https://www.youtube.com/watch?v=y3KuesTgxD0,,,,,,
2017,5,10,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Vastuskiri - Kollektiivne pöördumine ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,https://drive.google.com/file/d/1tYeohykENko044jTW3FsGJamA8WsDyzC/view?usp=sharing,,,,,,
